accession	accession_version	strain	published_clade
MH152389	MH152389.1	CA10-16-Amur-Rus-2013	
MH152390	MH152390.1	CA10-21-Amur-Rus-2013	
MH152391	MH152391.1	CA10-24-Amur-Rus-2013	
MH491141	MH491141.1	Stool	
MH491142	MH491142.1	Stool	
MH491143	MH491143.1	Stool	
MH491144	MH491144.1	Stool	
MH491145	MH491145.1	Stool	
MH716176	MH716176.1	CVA10/sHFMD18/Shenzhen/2014	
MH716177	MH716177.1	CVA10/sHFMD05/Shenzhen/2015	
MH716178	MH716178.1	CVA10/sHFMD33/Shenzhen/2015	
MK111165	MK111165.1	09_436	
MK111166	MK111166.1	10_589	
MK111167	MK111167.1	11_281	
MK111168	MK111168.1	11_495	
MK111169	MK111169.1	11_610	
MK111170	MK111170.1	15_013	
MK140819	MK140819.1	TSA1/ATH/2018	
MK307061	MK307061.2	S932b	
MK307062	MK307062.2	S1853a	
MK307063	MK307063.2	S364B	
MK307064	MK307064.2	S477B	
MK307065	MK307065.2	S482B	
MK307066	MK307066.1	S497B	
MK307067	MK307067.2	S694B	
MK307068	MK307068.2	S867B	
MK307069	MK307069.2	S938B	
MK307070	MK307070.2	S964B	
MK307071	MK307071.2	S974B	
MK307072	MK307072.2	S1182B	
MK307073	MK307073.2	S1467B	
MK307074	MK307074.2	S1484B	
MK307075	MK307075.2	S1535B	
MK307076	MK307076.2	S1606B	
MK307077	MK307077.2	S1738B	
MK307078	MK307078.2	S1858B	
MK307079	MK307079.2	S1860B	
MK307080	MK307080.1	S1946B	
MK307081	MK307081.2	S2214a	
MK307082	MK307082.2	S2215a	
MK307083	MK307083.2	S2815B	
MK307084	MK307084.2	S2827B	
MK307085	MK307085.2	S2838B	
MK307086	MK307086.2	S2928B	
MK307087	MK307087.2	S29b	
MK307088	MK307088.2	S354b	
MK307089	MK307089.2	S360b	
MK307090	MK307090.2	S365b	
MK307091	MK307091.1	S389b	
MK307092	MK307092.2	S455b	
MK307093	MK307093.2	S492b	
MK307094	MK307094.2	S493b	
MK307095	MK307095.2	S510b	
MK307096	MK307096.2	S515b	
MK307097	MK307097.2	S665b	
MK307098	MK307098.2	S715b	
MK307099	MK307099.2	S784b	
MK307100	MK307100.2	S785b	
MK307101	MK307101.2	S910b	
MK307102	MK307102.2	S931b	
MK307103	MK307103.2	S956b	
MK307104	MK307104.2	S1058b	
MK307105	MK307105.2	S1063b	
MK307106	MK307106.2	S1090b	
MK307107	MK307107.2	S1120a	
MK307108	MK307108.2	S1185a	
MK307109	MK307109.2	S1321b	
MK307110	MK307110.2	S1593b	
MK307111	MK307111.2	S1867b	
MK307112	MK307112.2	S1887b	
MK307113	MK307113.1	S2005b	
MK307114	MK307114.2	S2062b	
MK307115	MK307115.1	S2201b	
MK307116	MK307116.2	S2203a	
MK307117	MK307117.2	S2204b	
MK307118	MK307118.1	S2243b	
MK307119	MK307119.1	S2387b	
MK307120	MK307120.2	S2389b	
MK307121	MK307121.2	S2405b	
MK307122	MK307122.2	S2466b	
MK307123	MK307123.2	S2596b	
MK307124	MK307124.2	S2610b	
MK307125	MK307125.2	S2620b	
MK307126	MK307126.2	S2630b	
MK307127	MK307127.2	S2846b	
MK307128	MK307128.2	S2889b	
MK307129	MK307129.2	S2906b	
MK307130	MK307130.2	S3038a	
MK307131	MK307131.2	S3058b	
MK307132	MK307132.2	S197a	
MK307133	MK307133.2	S206a	
MK307134	MK307134.2	S294a	
MK307135	MK307135.2	S352a	
MK307136	MK307136.2	S369a	
MK307137	MK307137.2	S405a	
MK307138	MK307138.2	S601a	
MK307139	MK307139.2	S682a	
MK307140	MK307140.2	S745a	
MK307141	MK307141.2	S759a	
MK307142	MK307142.2	S799a	
MK307143	MK307143.2	S879a	
MK307144	MK307144.2	S939a	
MK307145	MK307145.2	S1040a	
MK307146	MK307146.2	S1059a	
MK307147	MK307147.2	S1098a	
MK307148	MK307148.2	S1162a	
MK307149	MK307149.2	S1206a	
MK307150	MK307150.2	S1243a	
MK307151	MK307151.2	S1297a	
MK307152	MK307152.2	S1320a	
MK307153	MK307153.2	S1323a	
MK307154	MK307154.2	S1342a	
MK307155	MK307155.2	S1393a	
MK307156	MK307156.2	S1594a	
MK307157	MK307157.2	S1839a	
MK307158	MK307158.2	S2106a	
MK307159	MK307159.2	S2108a	
MK307160	MK307160.2	S2197a	
MK307161	MK307161.2	S2198a	
MK307162	MK307162.2	S2292a	
MK307163	MK307163.2	S2293a	
MK307164	MK307164.2	S2428a	
MK307165	MK307165.2	S2531a	
MK307166	MK307166.2	S2602a	
MK307167	MK307167.2	S2749a	
MK307168	MK307168.2	S2767a	
MK307169	MK307169.2	S2882a	
MK307170	MK307170.2	S33B	
MK307171	MK307171.2	S313a	
MK307172	MK307172.2	S356b	
MK307173	MK307173.2	S363b	
MK307174	MK307174.2	S1177b	
MK307175	MK307175.2	S2168a	
MK307176	MK307176.2	S2785b	
MK307177	MK307177.2	S2799a	
MK307178	MK307178.2	S2854b	
MK307179	MK307179.2	S2978b	
MK307180	MK307180.2	S1589b	
MK307181	MK307181.2	S1384a	
MK307182	MK307182.2	S1367B	
MK307183	MK307183.2	S1889B	
MK307184	MK307184.2	S207a	
MK307185	MK307185.2	S214B	
MK307186	MK307186.2	S273B	
MK307187	MK307187.2	S383B	
MK307188	MK307188.2	S395B	
MK307189	MK307189.2	S495B	
MK307190	MK307190.2	S563B	
MK307191	MK307191.2	S1303B	
MK307192	MK307192.2	S1791B	
MK307193	MK307193.2	S1864B	
MK307194	MK307194.2	S1878B	
MK307195	MK307195.2	S2082B	
MK307196	MK307196.2	S2223B	
MK307197	MK307197.2	S2227B	
MK307198	MK307198.2	S2228B	
MK307199	MK307199.2	S2453B	
MK307200	MK307200.2	S2556B	
MK307201	MK307201.2	S441b	
MK307202	MK307202.2	S1047b	
MK307203	MK307203.2	S1051b	
MK307204	MK307204.2	S1105b	
MK307205	MK307205.2	S2011b	
MK307206	MK307206.2	S896a	
MK307207	MK307207.2	S900a	
MK307208	MK307208.2	S1212a	
MK307209	MK307209.2	S362B	
MK307210	MK307210.2	S1044a	
MK307211	MK307211.2	S227a	
MK307212	MK307212.2	S1665B	
MK307213	MK307213.2	S1920b	
MK307214	MK307214.2	S2209b	
MK357086	MK357086.1	CVA10/JN306/CHN/2018	
MK357087	MK357087.1	CVA10/JN285/CHN/2018	
MK357088	MK357088.1	CVA10/JN202/CHN/2018	
MK357089	MK357089.1	CVA10/JN175/CHN/2018	
MK357090	MK357090.1	CVA10/JN036/CHN/2018	
MK357091	MK357091.1	CVA10/JN024/CHN/2018	
MK357092	MK357092.1	CVA10/JN310/CHN/2018	
MK524987	MK524987.1	90-11268E	
MK639205	MK639205.1	0128.CA10.SV.VP2.07.2017	
MK639209	MK639209.1	6053.CA10.SV.VP2.10.2018	
MK796587	MK796587.1	74/ZJ/CHN/2016	
MK796588	MK796588.1	158/ZJ/CHN/2016	
MK796589	MK796589.1	159/ZJ/CHN/2016	
MK836124	MK836124.1	MK836124	
MK836134	MK836134.1	MK836134	
MK839035	MK839035.1	191_WZH_GX_CHN_2017	
MK839036	MK839036.1	1008_WZH_GX_CHN_2017	
MK839037	MK839037.1	1500_WZH_GX_CHN_2017	
MK839038	MK839038.1	1590_WZH_GX_CHN_2017	
MK839039	MK839039.1	1593_WZH_GX_CHN_2017	
MK839040	MK839040.1	1662_WZH_GX_CHN_2017	
MK839041	MK839041.1	1850_WZH_GX_CHN_2017	
MK839042	MK839042.1	1982_WZH_GX_CHN_2017	
MK839043	MK839043.1	2020_WZH_GX_CHN_2017	
MK839044	MK839044.1	2184_WZH_GX_CHN_2017	
MK839045	MK839045.1	2703_WZH_GX_CHN_2017	
MK839046	MK839046.1	290_WZH_GX_CHN_2017	
MK839047	MK839047.1	368_WZH_GX_CHN_2017	
MK839048	MK839048.1	392_WZH_GX_CHN_2017	
MK839049	MK839049.1	425_WZH_GX_CHN_2017	
MK839050	MK839050.1	456_WZH_GX_CHN_2017	
MK839051	MK839051.1	548_WZH_GX_CHN_2017	
MK839052	MK839052.1	604_WZH_GX_CHN_2017	
MK839053	MK839053.1	611_WZH_GX_CHN_2017	
MK839054	MK839054.1	666_WZH_GX_CHN_2017	
MK839055	MK839055.1	835_WZH_GX_CHN_2017	
MK839056	MK839056.1	837_WZH_GX_CHN_2017	
MK839057	MK839057.1	182_WZH_GX_CHN_2017	
MK839058	MK839058.1	224_WZH_GX_CHN_2017	
MK839059	MK839059.1	225_WZH_GX_CHN_2017	
MK839060	MK839060.1	236_WZH_GX_CHN_2017	
MK839061	MK839061.1	2774_WZH_GX_CHN_2017	
MK839062	MK839062.1	2826_WZH_GX_CHN_2017	
MK839063	MK839063.1	3111_WZH_GX_CHN_2017	
MK867822	MK867822.1	MK867822	
MK867823	MK867823.1	MK867823	
MK867824	MK867824.1	MK867824	
MK867825	MK867825.1	MK867825	
MK867826	MK867826.1	MK867826	
MK867827	MK867827.1	MK867827	
MK867828	MK867828.1	MK867828	
MK867829	MK867829.1	MK867829	
MK959790	MK959790.1	NPEV15-02-146	
MK959791	MK959791.1	NPEV15-02-147	
MK965217	MK965217.1	HEV792019	
MK965218	MK965218.1	HEV673605	
MK965219	MK965219.1	HEV16682622	
MK965220	MK965220.1	HEV16974016	
MK965221	MK965221.1	HEV16629923	
MK965222	MK965222.1	HEV16521079	
MK965223	MK965223.1	HEV16497296	
MK965224	MK965224.1	HEV16839677	
MK965225	MK965225.1	HEV16737103	
MK965226	MK965226.1	HEV17004986	
MK965227	MK965227.1	HEV16785663	
MK965228	MK965228.1	HEV17004955	
MK965229	MK965229.1	HEV16528629	
MK965230	MK965230.1	HEV16758540	
MK965231	MK965231.1	HEV16140539	
MK965232	MK965232.1	HEV10402926	
MK965233	MK965233.1	HEV786457	
MK965234	MK965234.1	HEV786905	
MK965235	MK965235.1	HEV786753	
MK965236	MK965236.1	HEV787284	
MK965237	MK965237.1	HEV787923	
MK965238	MK965238.1	HEV788153	
MK965239	MK965239.1	HEV788530	
MK965240	MK965240.1	HEV792553	
MK965241	MK965241.1	HEV793797	
MK965242	MK965242.1	HEV779767	
MK967667	MK967667.1	D19-A10	
MK967668	MK967668.1	LW67R	
MK967669	MK967669.1	QD106R	
MK967670	MK967670.1	TA111R	
MK967671	MK967671.1	TA137R	
MN171537	MN171537.1	CVA10/RUS/Novosibirsk/NS09-D257/2009	
MN187943	MN187943.1	ZJ-EVU50-2014-CVA10	
MN187944	MN187944.1	ZJ-EVU74-2014-CVA10	
MN187945	MN187945.1	ZJ-EVU83-2015-CVA10	
MN187946	MN187946.1	ZJ-EVU158-2013-CVA10	
MN187947	MN187947.1	ZJ-EVU171-2013-CVA10	
MN187948	MN187948.1	ZJ-EV136-2014-CVA10	
MN451174	MN451174.1	2009-425	
MN451175	MN451175.1	2016-CA10-547	
MN451176	MN451176.1	2016-CA10-548	
MN451177	MN451177.1	2008-311	
MN451178	MN451178.1	2009-CA10-149	
MN451179	MN451179.1	2009-180	
MN451180	MN451180.1	2010-022	
MN451181	MN451181.1	2010-095	
MN451182	MN451182.1	2010-214	
MN451183	MN451183.1	2010-607	
MN451184	MN451184.1	2010-703	
MN451185	MN451185.1	2010-713	
MN451186	MN451186.1	2010-CA10-749	
MN451187	MN451187.1	2010-947	
MN451188	MN451188.1	2010-1011	
MN451189	MN451189.1	2011-168	
MN451190	MN451190.1	2012-279	
MN451191	MN451191.1	2012-708	
MN451192	MN451192.1	2010-770	
MN451193	MN451193.1	2011-144	
MN451194	MN451194.1	2011-384	
MN451195	MN451195.1	2012-711	
MN451196	MN451196.1	2012-748	
MN451197	MN451197.1	2012-541	
MN451198	MN451198.1	2013-508	
MN451199	MN451199.1	2011-547	
MN451200	MN451200.1	2011-426	
MN451201	MN451201.1	2010-CA10-992	
MN451202	MN451202.1	2011-133	
MN451203	MN451203.1	2011-541	
MN451204	MN451204.1	2011-528	
MN451205	MN451205.1	2011-524	
MN451206	MN451206.1	2011-621	
MN451207	MN451207.1	2012-631	
MN451208	MN451208.1	2011-378	
MN451209	MN451209.1	2011-366	
MN451210	MN451210.1	2013-653	
MN451211	MN451211.1	2013-811	
MN451212	MN451212.1	2012-560	
MN451213	MN451213.1	2012-381	
MN451214	MN451214.1	2013-600	
MN451215	MN451215.1	2013-377	
MN451216	MN451216.1	2013-597	
MN451217	MN451217.1	2013-455	
MN451218	MN451218.1	2013-1121	
MN451219	MN451219.1	2014-695	
MN451220	MN451220.1	2010-916	
MN451221	MN451221.1	2010-917	
MN451222	MN451222.1	2011-509	
MN451223	MN451223.1	2011-696	
MN451224	MN451224.1	2013-292	
MN451225	MN451225.1	2014-460	
MN451226	MN451226.1	2014-493	
MN451227	MN451227.1	2016-CA10-670	
MN451228	MN451228.1	2011-689	
MN451229	MN451229.1	2012-718	
MN451230	MN451230.1	2012-872	
MN451231	MN451231.1	2012-1016	
MN451232	MN451232.1	2012-1023	
MN451233	MN451233.1	2013-CA10-469	
MN451234	MN451234.1	2013-568	
MN451235	MN451235.1	2013-603	
MN451236	MN451236.1	2013-625	
MN451237	MN451237.1	2013-627	
MN451238	MN451238.1	2013-780	
MN451239	MN451239.1	2013-1091	
MN451240	MN451240.1	2014-260	
MN451241	MN451241.1	2014-307	
MN451242	MN451242.1	2014-323	
MN451243	MN451243.1	2014-327	
MN451244	MN451244.1	2014-370	
MN451245	MN451245.1	2014-622	
MN451246	MN451246.1	2014-662	
MN451247	MN451247.1	2014-686	
MN451248	MN451248.1	2014-807	
MN451249	MN451249.1	2014-872	
MN451250	MN451250.1	2015-CA10-R512	
MN451251	MN451251.1	2015-CA10-R573	
MN451252	MN451252.1	2015-CA10-R579	
MN451253	MN451253.1	2015-CA10-R587	
MN451254	MN451254.1	2015-CA10-R908	
MN451255	MN451255.1	2015-CA10-R909	
MN451256	MN451256.1	2015-CA10-R1088	
MN451257	MN451257.1	2015-CA10-R1089	
MN451258	MN451258.1	2015-CA10-R1090	
MN451259	MN451259.1	2015-CA10-R1091	
MN451260	MN451260.1	2015-CA10-R1336	
MN451261	MN451261.1	2016-CA10-540	
MN451262	MN451262.1	2016-CA10-541	
MN451263	MN451263.1	2016-CA10-552	
MN451264	MN451264.1	2016-CA10-559	
MN451265	MN451265.1	2016-CA10-560	
MN451266	MN451266.1	2016-CA10-564	
MN451267	MN451267.1	2016-CA10-570	
MN451268	MN451268.1	2016-CA10-584	
MN451269	MN451269.1	2016-CA10-585	
MN451270	MN451270.1	2016-CA10-586	
MN451271	MN451271.1	2016-CA10-588	
MN451272	MN451272.1	2016-CA10-601	
MN451273	MN451273.1	2016-CA10-608	
MN451274	MN451274.1	2016-CA10-611	
MN451275	MN451275.1	2016-CA10-656	
MN451276	MN451276.1	2016-CA10-658	
MN451277	MN451277.1	2016-CA10-659	
MN451278	MN451278.1	2016-CA10-668	
MN451279	MN451279.1	2016-CA10-669	
MN451280	MN451280.1	2016-CA10-674	
MN451281	MN451281.1	2016-CA10-676	
MN451282	MN451282.1	2016-CA10-693	
MN451283	MN451283.1	2016-CA10-703	
MN451284	MN451284.1	2016-CA10-720	
MN451285	MN451285.1	2016-CA10-721	
MN451286	MN451286.1	2016-CA10-723	
MN451287	MN451287.1	2016-CA10-724	
MN451288	MN451288.1	2016-CA10-754	
MN451289	MN451289.1	2016-CA10-809	
MN451290	MN451290.1	2016-CA10-815	
MN451291	MN451291.1	2016-CA10-876	
MN451292	MN451292.1	2016-CA10-905	
MN451293	MN451293.1	2016-CA10-906	
MN451294	MN451294.1	2016-CA10-909	
MN451295	MN451295.1	2016-CA10-922	
MN451296	MN451296.1	2016-CA10-924	
MN451297	MN451297.1	2016-CA10-R330	
MN451298	MN451298.1	2016-CA10-R431	
MN451299	MN451299.1	2016-CA10-R485	
MN451300	MN451300.1	2017-CA10-109	
MN451301	MN451301.1	2017-CA10-276	
MN451302	MN451302.1	2017-CA10-287	
MN451303	MN451303.1	2017-CA10-334	
MN451304	MN451304.1	2017-CA10-379	
MN451305	MN451305.1	2017-CA10-435	
MN451306	MN451306.1	2017-CA10-542	
MN451307	MN451307.1	2017-CA10-556	
MN451308	MN451308.1	2017-CA10-644	
MN451309	MN451309.1	2017-CA10-651	
MN451310	MN451310.1	2017-CA10-664	
MN451311	MN451311.1	2017-CA10-679	
MN451312	MN451312.1	2017-CA10-693	
MN451313	MN451313.1	2018-CA10-554	
MN451314	MN451314.1	2018-CA10-657	
MN451315	MN451315.1	2018-CA10-552	
MN451316	MN451316.1	2018-CA10-560	
MN451317	MN451317.1	2018-CA10-568	
MN451318	MN451318.1	2018-CA10-582	
MN451319	MN451319.1	2018-CA10-597	
MN451320	MN451320.1	2018-CA10-602	
MN451321	MN451321.1	2018-CA10-604	
MN451322	MN451322.1	2018-CA10-608	
MN451323	MN451323.1	2018-CA10-611	
MN451324	MN451324.1	2018-CA10-673	
MN451325	MN451325.1	2018-CA10-675	
MN451326	MN451326.1	2018-CA10-677	
MN451327	MN451327.1	2018-CA10-815	
MN451328	MN451328.1	2018-CA10-831	
MN451329	MN451329.1	2018-CA10-832	
MN451330	MN451330.1	2018-CA10-839	
MN451331	MN451331.1	2018-CA10-841	
MN451332	MN451332.1	2018-CA10-846	
MN451333	MN451333.1	2018-CA10-878	
MN451334	MN451334.1	2018-CA10-911	
MN451335	MN451335.1	2018-CA10-58	
MN451336	MN451336.1	2018-CA10-123	
MN451337	MN451337.1	2018-CA10-124	
MN451338	MN451338.1	2018-CA10-146	
MN451339	MN451339.1	2018-CA10-163	
MN451340	MN451340.1	2018-CA10-164	
MN451341	MN451341.1	2018-CA10-179	
MN451342	MN451342.1	2018-CA10-181	
MN451343	MN451343.1	2018-CA10-206	
MN451344	MN451344.1	2018-CA10-218	
MN451345	MN451345.1	2018-CA10-219	
MN451346	MN451346.1	2018-CA10-228	
MN451347	MN451347.1	2018-CA10-232	
MN451348	MN451348.1	2018-CA10-234	
MN451349	MN451349.1	2018-CA10-270	
MN451350	MN451350.1	2018-CA10-300	
MN451351	MN451351.1	2018-CA10-304	
MN451352	MN451352.1	2018-CA10-343	
MN451353	MN451353.1	2018-CA10-348	
MN451354	MN451354.1	2018-CA10-349	
MN451355	MN451355.1	2018-CA10-350	
MN451356	MN451356.1	2018-CA10-360	
MN451357	MN451357.1	2018-CA10-362	
MN451358	MN451358.1	2018-CA10-386	
MN451359	MN451359.1	2018-CA10-387	
MN451360	MN451360.1	2018-CA10-R18	
MN451361	MN451361.1	2018-CA10-R101	
MN451362	MN451362.1	2018-CA10-R120	
MN451363	MN451363.1	2018-CA10-R125	
MN451364	MN451364.1	2017-HA-CA10-32A	
MN451365	MN451365.1	2017-HA-CA10-89A	
MN451366	MN451366.1	2017-HA-CA10-93A	
MN451367	MN451367.1	2017-HA-CA10-103A	
MN451368	MN451368.1	2017-HA-CA10-132A	
MN451369	MN451369.1	2017-HA-CA10-142A	
MN451370	MN451370.1	2017-HA-CA10-191A	
MN451371	MN451371.1	2018-HA-CA10-3	
MN451372	MN451372.1	2018-HA-CA10-107	
MN451373	MN451373.1	2018-HA-CA10-142	
MN451374	MN451374.1	2018-HA-CA10-153	
MN451375	MN451375.1	2018-HA-CA10-166	
MN451376	MN451376.1	2018-HA-CA10-194	
MN451377	MN451377.1	2018-HA-CA10-235	
MN451378	MN451378.1	2018-HA-CA10-240	
MN451379	MN451379.1	2018-HA-CA10-246	
MN451380	MN451380.1	2018-HA-CA10-266	
MN451381	MN451381.1	2018-HA-CA10-272	
MN451382	MN451382.1	2018-HA-CA10-278	
MN540987	MN540987.1	MN540987	
MN540992	MN540992.1	MN540992	
MN541017	MN541017.1	MN541017	
MN557275	MN557275.1	MN557275	
MN557276	MN557276.1	MN557276	
MN557277	MN557277.1	MN557277	
MN557278	MN557278.1	MN557278	
MN557279	MN557279.1	MN557279	
MN557280	MN557280.1	MN557280	
MN557281	MN557281.1	MN557281	
MN557282	MN557282.1	MN557282	
MN557283	MN557283.1	MN557283	
MN557284	MN557284.1	MN557284	
MN557285	MN557285.1	MN557285	
MN557286	MN557286.1	MN557286	
MN557287	MN557287.1	MN557287	
MN557288	MN557288.1	MN557288	
MN642090	MN642090.1	MN642090	
MN642091	MN642091.1	MN642091	
MN689742	MN689742.1	30May2019/PAYSANDU/URUGUAY	
MN699160	MN699160.1	CMH-S176-16	
MN699161	MN699161.1	CMH-S177-16	
MN699162	MN699162.1	CMH-S245-16	
MN699163	MN699163.1	CMH-ST14-17	
MN699164	MN699164.1	CMH-S181-18	
MN920441	MN920441.1	HEV17184309	
MN920442	MN920442.1	HEV16960497	
MN920443	MN920443.1	HEV17059231	
MN920444	MN920444.1	HEV9731702	
MN920445	MN920445.1	HEV17417789	
MN920446	MN920446.1	HEV17408254	
MN920447	MN920447.1	HEV849245	
MN920448	MN920448.1	HEV17065368	
MN920449	MN920449.1	HEV16922531	
MN920450	MN920450.1	HEV17351376	
MN920451	MN920451.1	HEV16259586	
MN920452	MN920452.1	HEV9750469	
MN920453	MN920453.1	HEV16656907	
MN920454	MN920454.1	HEV16703605	
MN920455	MN920455.1	HEV16713415	
MN920456	MN920456.1	HEV17421971	
MN920457	MN920457.1	HEV17428236	
MN920458	MN920458.1	HEV16690682	
MN920459	MN920459.1	HEV845397	
MN920460	MN920460.1	HEV16435047	
MN938591	MN938591.1	1404F1CVA10	
MN938592	MN938592.1	1990F1CVA10	
MN938593	MN938593.1	3122F1CVA10	
MN938594	MN938594.1	3182F1CVA10	
MN938595	MN938595.1	3188Y1CVA10	
MN938596	MN938596.1	7562F1CVA10	
MN938610	MN938610.1	1108LK1CVA10	
MN938611	MN938611.1	1355G1CVA10	
MN938612	MN938612.1	1433PZ1CVA10	
MN938613	MN938613.1	1483Y1CVA10	
MN938614	MN938614.1	1796G1CVA10	
MN938615	MN938615.1	1818G1CVA10	
MN938616	MN938616.1	1990G1CVA10	
MN938617	MN938617.1	2121G1CVA10	
MN938618	MN938618.1	2900F1CVA10	
MN938619	MN938619.1	3109F1CVA10	
MN938620	MN938620.1	3114G1CVA10	
MN938621	MN938621.1	3188Y1CVA10	
MN938622	MN938622.1	7078LK1CVA10	
MN938623	MN938623.1	7078N1CVA10	
MN938624	MN938624.1	7126LK1CVA10	
MN938625	MN938625.1	7157LK1CVA10	
MN938626	MN938626.1	7274G1CVA10	
MN938627	MN938627.1	7374G1CVA10	
MN938628	MN938628.1	7508F1CVA10	
MN938629	MN938629.1	7508G1CVA10	
MN938630	MN938630.1	7529G1CVA10	
MN938631	MN938631.1	7533F1CVA10	
MN938632	MN938632.1	7533Y1CVA10	
MN938633	MN938633.1	7559G1CVA10	
MN938634	MN938634.1	7653Y1CVA10	
MN938635	MN938635.1	7721Y1CVA10	
MN938636	MN938636.1	8070G1CVA10	
MN938792	MN938792.1	1172F1CVA10	
MN938793	MN938793.1	1172G1CVA10	
MN938794	MN938794.1	1404G1CVA10	
MN938795	MN938795.1	1990Y1CVA10	
MN938796	MN938796.1	3122F1CVA10	
MN938797	MN938797.1	3122G1CVA10	
MN938798	MN938798.1	3122Y1CVA10	
MN938799	MN938799.1	3182Y1CVA10	
MN938800	MN938800.1	3188G1CVA10	
MN938801	MN938801.1	3188Y1CVA10	
MN938802	MN938802.1	7017G1CVA10	
MN938803	MN938803.1	7220F1CVA10	
MN938804	MN938804.1	7274F1CVA10	
MN938805	MN938805.1	7533G1CVA10	
MN938806	MN938806.1	7562G1CVA10	
MN938807	MN938807.1	7707G1CVA10	
MN938808	MN938808.1	7721F1CVA10	
MN938809	MN938809.1	8077F1CVA10	
MN938810	MN938810.1	8077G1CVA10	
MN938811	MN938811.1	8077Y1CVA10	
MN938812	MN938812.1	9038F1CVA10	
MN938813	MN938813.1	9038G1CVA10	
MN938814	MN938814.1	9038Y1CVA10	
MT119403	MT119403.1	CVA-10/01/CHN/GZ/2018	
MT119404	MT119404.1	CVA-10/02/CHN/GZ/2018	
MT119405	MT119405.1	CVA-10/03/CHN/GZ/2018	
MT119406	MT119406.1	CVA-10/04/CHN/GZ/2018	
MT119407	MT119407.1	CVA-10/05/CHN/GZ/2018	
MT119408	MT119408.1	CVA-10/06/CHN/GZ/2018	
MT119409	MT119409.1	CVA-10/07/CHN/GZ/2018	
MT119410	MT119410.1	CVA-10/08/CHN/GZ/2018	
MT119411	MT119411.1	CVA-10/09/CHN/GZ/2018	
MT119412	MT119412.1	CVA-10/10/CHN/GZ/2018	
MT119413	MT119413.1	CVA-10/11/CHN/GZ/2018	
MT119414	MT119414.1	CVA-10/12/CHN/GZ/2018	
MT119415	MT119415.1	CVA-10/13/CHN/GZ/2018	
MT119416	MT119416.1	CVA-10/14/CHN/GZ/2018	
MT119417	MT119417.1	CVA-10/15/CHN/GZ/2018	
MT119418	MT119418.1	CVA-10/16/CHN/GZ/2018	
MT119419	MT119419.1	CVA-10/17/CHN/GZ/2018	
MT119420	MT119420.1	CVA-10/18/CHN/GZ/2018	
MT119421	MT119421.1	CVA-10/19/CHN/GZ/2018	
MT119422	MT119422.1	CVA-10/20/CHN/GZ/2018	
MT119423	MT119423.1	CVA-10/21/CHN/GZ/2018	
MT119424	MT119424.1	CVA-10/22/CHN/GZ/2018	
MT119425	MT119425.1	CVA-10/23/CHN/GZ/2018	
MT119426	MT119426.1	CVA-10/24/CHN/GZ/2018	
MT281436	MT281436.1	0001.CA10.TU.VP2.07.2019	
MT281446	MT281446.1	0012.CA10.KU.VP2.08.2019	
MT350221	MT350221.1	MT350221	
MT394552	MT394552.1	MT394552	
MT394553	MT394553.1	MT394553	
MT394554	MT394554.1	MT394554	
MT394555	MT394555.1	MT394555	
MT491210	MT491210.1	3857/CVA10/BRA/2011/PA	
MT641416	MT641416.1	MT641416	
MT641419	MT641419.1	MT641419	
MT641421	MT641421.1	MT641421	
MT641427	MT641427.1	MT641427	
MT641441	MT641441.1	MT641441	
MT822170	MT822170.1	MT822170	
MT828546	MT828546.1	MT828546	
MT828547	MT828547.1	MT828547	
MT828548	MT828548.1	MT828548	
MT828549	MT828549.1	MT828549	
MT950044	MT950044.1	MT950044	
MT950045	MT950045.1	MT950045	
MT950046	MT950046.1	MT950046	
MW028182	MW028182.1	1136Y1/China/Henan/CVA10/20170716	
MW028183	MW028183.1	1404Y1/China/Henan/CVA10/20170813	
MW028184	MW028184.1	1432Y1/China/Henan/CVA10/20170818	
MW028185	MW028185.1	1454Y1/China/Henan/CVA10/20170820	
MW028186	MW028186.1	1577Y1/China/Henan/CVA10/20170907	
MW028187	MW028187.1	1892Y1/China/Henan/CVA10/20171019	
MW028188	MW028188.1	1920Y1/China/Henan/CVA10/20171024	
MW028189	MW028189.1	7173Y1/China/Henan/CVA10/20170511	
MW028190	MW028190.1	7220Y1/China/Henan/CVA10/20170515	
MW028191	MW028191.1	7240Y1/China/Henan/CVA10/20170516	
MW028192	MW028192.1	7274Y1/China/Henan/CVA10/20170519	
MW028193	MW028193.1	7332Y1/China/Henan/CVA10/20170525	
MW028194	MW028194.1	7379Y1/China/Henan/CVA10/20170526	
MW028195	MW028195.1	7716Y1/China/Henan/CVA10/20170619	
MW028196	MW028196.1	7875Y1/China/Henan/CVA10/20170702	
MW028197	MW028197.1	7891Y1/China/Henan/CVA10/20170702	
MW028198	MW028198.1	7948Y1/China/Henan/CVA10/20170708	
MW028199	MW028199.1	7972Y1/China/Henan/CVA10/20170710	
MW028200	MW028200.1	7983Y1/China/Henan/CVA10/20170711	
MW028201	MW028201.1	9056Y1/China/Henan/CVA10/20170502	
MW028202	MW028202.1	9064Y1/China/Henan/CVA10/20170502	
MW028203	MW028203.1	9075Y1/China/Henan/CVA10/20170503	
MW028204	MW028204.1	9079Y1/China/Henan/CVA10/20170503	
MW028205	MW028205.1	Q1059Y1/China/Henan/CVA10/20170520	
MW028206	MW028206.1	H1051Y1/China/Henan/CVA10/20170506	
